country_code,count
US,14869054
CN,12871641
GB,3301833
JP,3064573
DE,2761282
FR,2519351
IN,2374205
BR,1903758
CA,1585438
RU,1344431
IT,1299468
ES,1263710
KR,1123152
ID,1105276
AU,994433
TW,893634
IR,812648
NL,766795
PL,631169
CH,589620
MX,566949
TR,486528
SE,423791
BE,370519
MY,342923
EG,335691
IL,320685
CO,312729
DK,290297
UA,286579
AT,282009
CZ,274151
PK,267322
ZA,260562
SG,252987
GR,249294
AR,244554
NG,242709
FI,238350
PT,228373
TH,214668
NO,212197
IE,198607
CL,193326
SA,186107
HU,168546
NZ,166025
RO,148624
BD,131491
SK,119715
MA,105049
PE,98389
PH,93555
EC,92937
VN,92826
BG,87780
HR,86511
TN,86097
RS,84474
DZ,81222
CU,75498
ET,71286
VE,69821
IQ,63169
SI,58787
KE,53909
NP,53458
LK,51397
AE,49652
BY,49509
GH,46795
LT,45818
KZ,43472
JO,42270
CR,41566
UZ,41529
QA,39420
LB,37726
UG,30968
LV,30280
CM,30223
MD,29966
EE,29379
UY,28343
VG,25712
AM,25275
KW,24329
TZ,22442
GE,21094
CY,20215
HK,19751
OM,19375
SD,18741
BH,18321
LU,17323
AZ,17268
ZW,17082
MZ,16716
BA,16125
BO,14042
KH,13609
SY,13590
CI,13358
PA,12779
YE,12741
IS,12112
SN,11489
PY,11485
MK,11463
PS,11192
BJ,10597
JM,10331
ZM,9925
AL,9645
LA,9130
CD,8801
MN,8740
AG,8699
LY,8131
BF,7758
MT,6946
MM,6745
GT,6722
MW,6705
SV,6553
HN,6522
PR,6400
TJ,6389
BW,6289
NE,5914
RW,5769
NI,5626
XK,5454
BB,5284
ML,4843
KG,4723
DO,4668
MU,4660
MG,4610
BN,4253
ME,4195
CG,3957
AO,3919
TT,3795
TG,3726
PG,3481
NA,3189
RE,3132
FJ,2969
KN,2853
BI,2780
GA,2742
GD,2679
GP,2644
AF,2540
KP,2441
SS,2281
GN,1942
CW,1899
ST,1776
GM,1505
SL,1304
MQ,1294
GF,1167
BZ,1161
NC,1141
PF,1032
SZ,1011
LI,974
GW,973
MC,919
LS,884
MV,853
BT,807
HT,720
TM,678
MR,661
SO,637
BM,574
TD,572
LR,566
SR,566
BS,563
GY,555
FO,528
GL,512
CF,462
SJ,445
ER,422
CV,392
SC,339
JE,332
MO,316
WS,302
KY,301
SX,296
TL,235
PW,185
GI,180
TO,172
MS,162
SM,159
IM,143
LC,141
VU,140
DJ,131
AD,113
FK,103
VC,91
FM,88
VA,80
MH,56
AW,52
VI,46
AX,44
DM,38
KI,34
GQ,30
SB,14
NU,10
TV,9
TC,7
CK,1
BQ,1
