cited_by_count,counts_by_year,created_date,display_name,display_name_alternatives,id,ids,last_known_institution,most_cited_work,orcid,updated_date,works_api_url,works_count,x_concepts
0,[],2017-06-30,compositeur . Compositeur,[],https://openalex.org/A2633105175,"Row(mag=2633105175, openalex='https://openalex.org/A2633105175', orcid=None, scopus=None, twitter=None, wikipedia=None)",,Girondine : valse lente [pour piano] : op. 37 / R. Bassal ; [ill. par] P. D. (1911),,2022-08-31T14:08:53.420550,https://api.openalex.org/works?filter=author.id:A2633105175,1,"[Row(display_name='Humanities', id='https://openalex.org/C15708023', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q80083'), Row(display_name='Acoustics', id='https://openalex.org/C24890656', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q82811'), Row(display_name='Art history', id='https://openalex.org/C52119013', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q50637'), Row(display_name='History', id='https://openalex.org/C95457728', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q309'), Row(display_name='Physics', id='https://openalex.org/C121332964', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q413'), Row(display_name='Piano', id='https://openalex.org/C124086623', level=2, score=100.0, wikidata='https://www.wikidata.org/wiki/Q5994'), Row(display_name='Philosophy', id='https://openalex.org/C138885662', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q5891'), Row(display_name='Art', id='https://openalex.org/C142362112', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q735'), Row(display_name='Economics', id='https://openalex.org/C162324750', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q8134'), Row(display_name='Management', id='https://openalex.org/C187736073', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q2920921')]"
0,[],2017-06-30,S Sher,[],https://openalex.org/A2636400655,"Row(mag=2636400655, openalex='https://openalex.org/A2636400655', orcid=None, scopus=None, twitter=None, wikipedia=None)",,Nematodes and bacteria on rose: Root-lesion nematode and hairy-root bacterium on important rose crop in southern California controlled by treatments ... (1958),,2022-08-31T14:08:53.425739,https://api.openalex.org/works?filter=author.id:A2636400655,1,"[Row(display_name='Geometry', id='https://openalex.org/C2524010', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q8087'), Row(display_name='Agronomy', id='https://openalex.org/C6557445', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q173113'), Row(display_name='Ecology', id='https://openalex.org/C18903297', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q7150'), Row(display_name='Mathematics', id='https://openalex.org/C33923547', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q395'), Row(display_name='Genetics', id='https://openalex.org/C54355233', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q7162'), Row(display_name='Botany', id='https://openalex.org/C59822182', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q441'), Row(display_name='Biology', id='https://openalex.org/C86803240', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q420'), Row(display_name='Forestry', id='https://openalex.org/C97137747', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q38112'), Row(display_name='Geology', id='https://openalex.org/C127313418', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q1069'), Row(display_name='Crop', id='https://openalex.org/C137580998', level=2, score=100.0, wikidata='https://www.wikidata.org/wiki/Q235352'), Row(display_name='Horticulture', id='https://openalex.org/C144027150', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q48803'), Row(display_name='Paleontology', id='https://openalex.org/C151730666', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q7205'), Row(display_name='Geography', id='https://openalex.org/C205649164', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q1071'), Row(display_name='Bacteria', id='https://openalex.org/C523546767', level=2, score=100.0, wikidata='https://www.wikidata.org/wiki/Q10876'), Row(display_name='Rose (mathematics)', id='https://openalex.org/C2778335665', level=2, score=100.0, wikidata='https://www.wikidata.org/wiki/Q1155211'), Row(display_name='Nematode', id='https://openalex.org/C2778830712', level=2, score=100.0, wikidata='https://www.wikidata.org/wiki/Q5185')]"
0,"[Row(cited_by_count=0, works_count=1, year=2016)]",2017-06-30,Владислав Яценко,[],https://openalex.org/A2636811276,"Row(mag=2636811276, openalex='https://openalex.org/A2636811276', orcid=None, scopus=None, twitter=None, wikipedia=None)",,"История Украины by Игорь Данилевский, Татьяна Таирова (Яковлева), Александр Шубин, Виктор Мироненко (2016)",,2022-08-31T14:08:53.427935,https://api.openalex.org/works?filter=author.id:A2636811276,1,"[Row(display_name='Computer science', id='https://openalex.org/C41008148', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q21198')]"
0,[],2017-06-30,Mícheál Briody,[],https://openalex.org/A2637226189,"Row(mag=2637226189, openalex='https://openalex.org/A2637226189', orcid=None, scopus=None, twitter=None, wikipedia=None)","Row(country_code='GB', display_name='Language Technology Centre', id='https://openalex.org/I4210094883', ror='https://ror.org/00qkqnk52', type='company')",La mission de Séamus Ó Duilearga : sauvegarder le folklore de l'Irlande (2011),,2022-08-31T14:08:53.432468,https://api.openalex.org/works?filter=author.id:A2637226189,1,"[Row(display_name='Ethnology', id='https://openalex.org/C2549261', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q43455'), Row(display_name='Humanities', id='https://openalex.org/C15708023', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q80083'), Row(display_name='Anthropology', id='https://openalex.org/C19165224', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q23404'), Row(display_name='Linguistics', id='https://openalex.org/C41895202', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q8162'), Row(display_name='History', id='https://openalex.org/C95457728', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q309'), Row(display_name='Folklore', id='https://openalex.org/C105297191', level=2, score=100.0, wikidata='https://www.wikidata.org/wiki/Q36192'), Row(display_name='Literature', id='https://openalex.org/C124952713', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q8242'), Row(display_name='Philosophy', id='https://openalex.org/C138885662', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q5891'), Row(display_name='Art', id='https://openalex.org/C142362112', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q735'), Row(display_name='Sociology', id='https://openalex.org/C144024400', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q21201'), Row(display_name='Archaeology', id='https://openalex.org/C166957645', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q23498'), Row(display_name='Geography', id='https://openalex.org/C205649164', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q1071'), Row(display_name='Irish', id='https://openalex.org/C2780623531', level=2, score=100.0, wikidata='https://www.wikidata.org/wiki/Q9142')]"
2,"[Row(cited_by_count=1, works_count=0, year=2017), Row(cited_by_count=1, works_count=0, year=2012)]",2017-06-30,Francisco Caudet Roca,[],https://openalex.org/A2638532457,"Row(mag=2638532457, openalex='https://openalex.org/A2638532457', orcid=None, scopus=None, twitter=None, wikipedia=None)",,El Mono Azul y el romancero de la guerra civil (1993),,2022-08-31T14:08:53.435542,https://api.openalex.org/works?filter=author.id:A2638532457,1,"[Row(display_name='Humanities', id='https://openalex.org/C15708023', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q80083'), Row(display_name='Philosophy', id='https://openalex.org/C138885662', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q5891'), Row(display_name='Art', id='https://openalex.org/C142362112', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q735')]"
0,[],2017-06-30,本道 佐々木,[],https://openalex.org/A2639591104,"Row(mag=2639591104, openalex='https://openalex.org/A2639591104', orcid=None, scopus=None, twitter=None, wikipedia=None)",,"A-2Barr bodyによる子宮癌の新スクリーニング法(婦人科その(1), 第17回日本臨床細胞学会総会) (1976)",,2022-08-31T14:08:53.436849,https://api.openalex.org/works?filter=author.id:A2639591104,1,[]
0,[],2017-06-30,隆 重松,[],https://openalex.org/A2640222087,"Row(mag=2640222087, openalex='https://openalex.org/A2640222087', orcid=None, scopus=None, twitter=None, wikipedia=None)",,副甲状腺ホルモン(PTH)測定法の進歩と問題点および今後の課題 : 第47回日本透析医学会シンポジウムより (2002),,2022-08-31T14:08:53.438464,https://api.openalex.org/works?filter=author.id:A2640222087,3,"[Row(display_name='Computer science', id='https://openalex.org/C41008148', level=0, score=33.3, wikidata='https://www.wikidata.org/wiki/Q21198')]"
0,[],2017-06-30,Boucher de Perthes,[],https://openalex.org/A2640373672,"Row(mag=2640373672, openalex='https://openalex.org/A2640373672', orcid=None, scopus=None, twitter=None, wikipedia=None)",,Lettre de Jacques Boucher de Crèvecoeur de Perthes (France) à Gaston de Saporta (France) - 1868 (1868),,2022-08-31T14:08:53.440648,https://api.openalex.org/works?filter=author.id:A2640373672,1,"[Row(display_name='Humanities', id='https://openalex.org/C15708023', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q80083'), Row(display_name='Philosophy', id='https://openalex.org/C138885662', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q5891'), Row(display_name='Art', id='https://openalex.org/C142362112', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q735')]"
0,[],2017-06-30,Córdova Fa,[],https://openalex.org/A2640459586,"Row(mag=2640459586, openalex='https://openalex.org/A2640459586', orcid=None, scopus=None, twitter=None, wikipedia=None)",,Rupture of the interventricular septum after acute myocardial infarction. (1969),,2022-08-31T14:08:53.444611,https://api.openalex.org/works?filter=author.id:A2640459586,1,"[Row(display_name='Psychology', id='https://openalex.org/C15744967', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q9418'), Row(display_name='Medicine', id='https://openalex.org/C71924100', level=0, score=100.0, wikidata='https://www.wikidata.org/wiki/Q11190'), Row(display_name='Psychiatry', id='https://openalex.org/C118552586', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q7867'), Row(display_name='Internal medicine', id='https://openalex.org/C126322002', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q11180'), Row(display_name='Cardiology', id='https://openalex.org/C164705383', level=1, score=100.0, wikidata='https://www.wikidata.org/wiki/Q10379'), Row(display_name='Myocardial infarction', id='https://openalex.org/C500558357', level=2, score=100.0, wikidata='https://www.wikidata.org/wiki/Q12152'), Row(display_name='Ventricle', id='https://openalex.org/C2778921608', level=2, score=100.0, wikidata='https://www.wikidata.org/wiki/Q2002035'), Row(display_name='Interventricular septum', id='https://openalex.org/C2779740085', level=3, score=100.0, wikidata='https://www.wikidata.org/wiki/Q2397680')]"
0,[],2017-06-30,박길준,[],https://openalex.org/A2641026821,"Row(mag=2641026821, openalex='https://openalex.org/A2641026821', orcid=None, scopus=None, twitter=None, wikipedia=None)",,상추에서의 싸리수염진딧물(Aulacorthum solani)의 발육과 발육모형 (2008),,2022-08-31T14:08:53.449805,https://api.openalex.org/works?filter=author.id:A2641026821,2,"[Row(display_name='Psychology', id='https://openalex.org/C15744967', level=0, score=50.0, wikidata='https://www.wikidata.org/wiki/Q9418'), Row(display_name='Ecology', id='https://openalex.org/C18903297', level=1, score=50.0, wikidata='https://www.wikidata.org/wiki/Q7150'), Row(display_name='Mathematics', id='https://openalex.org/C33923547', level=0, score=50.0, wikidata='https://www.wikidata.org/wiki/Q395'), Row(display_name='photoperiodism', id='https://openalex.org/C55969652', level=2, score=50.0, wikidata='https://www.wikidata.org/wiki/Q259028'), Row(display_name='Botany', id='https://openalex.org/C59822182', level=1, score=50.0, wikidata='https://www.wikidata.org/wiki/Q441'), Row(display_name='Medicine', id='https://openalex.org/C71924100', level=0, score=50.0, wikidata='https://www.wikidata.org/wiki/Q11190'), Row(display_name='Nymph', id='https://openalex.org/C85323577', level=2, score=50.0, wikidata='https://www.wikidata.org/wiki/Q258362'), Row(display_name='Biology', id='https://openalex.org/C86803240', level=0, score=50.0, wikidata='https://www.wikidata.org/wiki/Q420'), Row(display_name='Zoology', id='https://openalex.org/C90856448', level=1, score=50.0, wikidata='https://www.wikidata.org/wiki/Q431'), Row(display_name='Statistics', id='https://openalex.org/C105795698', level=1, score=50.0, wikidata='https://www.wikidata.org/wiki/Q12483'), Row(display_name='Internal medicine', id='https://openalex.org/C126322002', level=1, score=50.0, wikidata='https://www.wikidata.org/wiki/Q11180'), Row(display_name='Developmental psychology', id='https://openalex.org/C138496976', level=1, score=50.0, wikidata='https://www.wikidata.org/wiki/Q175002'), Row(display_name='Animal science', id='https://openalex.org/C140793950', level=1, score=50.0, wikidata='https://www.wikidata.org/wiki/Q168091'), Row(display_name='Horticulture', id='https://openalex.org/C144027150', level=1, score=50.0, wikidata='https://www.wikidata.org/wiki/Q48803'), Row(display_name='Weibull distribution', id='https://openalex.org/C173291955', level=2, score=50.0, wikidata='https://www.wikidata.org/wiki/Q732332'), Row(display_name='Developmental stage', id='https://openalex.org/C3019289112', level=2, score=50.0, wikidata='https://www.wikidata.org/wiki/Q7596908')]"
